Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
6/19/14,2014-6,"150,000","4,000","5,500,000","23,000","17,000",,,,,,
6/20/14,2014-6,"130,000","4,000","5,100,000","22,000","16,100",,,,,,
6/21/14,2014-6,"110,000","3,000","3,800,000","21,000","11,900",,,,,,
6/22/14,2014-6,"120,000","4,000","4,100,000","23,000","13,400",,,,,,
6/23/14,2014-6,"160,000","4,000","5,200,000","19,000","15,700",,,,,,
6/24/14,2014-6,"160,000","4,000","5,400,000","18,000","16,200",,,,,,
6/25/14,2014-6,"160,000","4,000","5,700,000","19,000","15,100",,,,,,
6/26/14,2014-6,"140,000","4,000","5,900,000","19,000","13,000",,,,,,
6/27/14,2014-6,"130,000","4,000","6,700,000","23,000","14,000",,,,,,
6/28/14,2014-6,"110,000","3,000","4,900,000","22,000","11,200",,,,,,
6/29/14,2014-6,"120,000","3,000","5,100,000","21,000","11,200",,,,,,
6/30/14,2014-6,"150,000","4,000","8,800,000","21,000","14,100",,,,,,
7/1/14,2014-7,"150,000","4,000","360,000","1,000","9,800",,,,,,
7/2/14,2014-7,"140,000","4,000","370,000","2,000","9,500",,,,,,
7/3/14,2014-7,"120,000","3,000","400,000","2,000","8,800",,,,,,
7/4/14,2014-7,"88,000","3,000","330,000","2,000","5,200",,,,,,
7/5/14,2014-7,"90,000","3,000","360,000","2,000","5,300",,,,,,
7/6/14,2014-7,"93,000","3,000","400,000","2,000","5,600",,,,,,
7/7/14,2014-7,"130,000","4,000","1,900,000","9,000","12,100",,,,,,
7/8/14,2014-7,"120,000","4,000","3,000,000","15,000","14,900",,,,,,
7/9/14,2014-7,"120,000","3,000","2,900,000","15,000","14,400",,,,,,
7/10/14,2014-7,"130,000","3,000","3,600,000","16,000","14,400",,,,,,
7/11/14,2014-7,"120,000","3,000","3,100,000","14,000","13,100",,,,,,
7/12/14,2014-7,"93,000","3,000","2,900,000","15,000","10,700",,,,,,
7/13/14,2014-7,"100,000","3,000","2,800,000","14,000","10,400",,,,,,
7/14/14,2014-7,"140,000","4,000","3,600,000","19,000","15,400",,,,,,
7/15/14,2014-7,"130,000","4,000","6,800,000","20,000","15,500",,,,,,
7/16/14,2014-7,"220,000","4,000","6,800,000","19,000","15,900",,,,,,
7/17/14,2014-7,"260,000","4,000","5,300,000","21,000","15,800",,,,,,
7/18/14,2014-7,"200,000","4,000","4,300,000","13,000","12,700",,,,,,
7/19/14,2014-7,"180,000","3,000","5,000,000","19,000","11,500",,,,,,
7/20/14,2014-7,"210,000","4,000","4,400,000","16,000","11,100",,,,,,
7/21/14,2014-7,"260,000","6,000","5,500,000","19,000","16,500",,,,,,
7/22/14,2014-7,"250,000","5,000","7,600,000","21,000","17,200",,,,,,
7/23/14,2014-7,"240,000","5,000","8,600,000","22,000","17,000",,,,,,
7/24/14,2014-7,"230,000","5,000","9,000,000","22,000","17,300",,,,,,
7/25/14,2014-7,"200,000","5,000","9,000,000","24,000","18,200",,,,,,
7/26/14,2014-7,"180,000","4,000","7,600,000","23,000","14,600",,,,,,
7/27/14,2014-7,"190,000","4,000","7,700,000","23,000","14,700",,,,,,
7/28/14,2014-7,"240,000","5,000","8,200,000","22,000","18,300",,,,,,
7/29/14,2014-7,"230,000","5,000","7,000,000","21,000","18,000",,,,,,
7/30/14,2014-7,"240,000","4,000","12,000,000","25,000","19,900",,,,,,
7/31/14,2014-7,"210,000","4,000","9,100,000","20,000","16,700",,,,,,
8/1/14,2014-8,"200,000","3,000","5,800,000","21,000","16,500",,,,,,
8/2/14,2014-8,"200,000","3,000","5,500,000","24,000","15,200",,,,,,
8/3/14,2014-8,"180,000","3,000","5,100,000","25,000","16,200",,,,,,
8/4/14,2014-8,"260,000","5,000","5,800,000","23,000","20,000",,,,,,
8/5/14,2014-8,"230,000","5,000","6,900,000","23,000","19,600",,,,,,
8/6/14,2014-8,"200,000","5,000","7,400,000","24,000","19,700",,,,,,
8/7/14,2014-8,"210,000","5,000","8,200,000","25,000","20,000",,,,,,
8/8/14,2014-8,"190,000","5,000","7,400,000","24,000","20,700",,,,,,
8/9/14,2014-8,"160,000","4,000","5,700,000","19,000","16,100",,,,,,
8/10/14,2014-8,"170,000","4,000","6,100,000","23,000","17,000",,,,,,
8/11/14,2014-8,"240,000","5,000","7,900,000","20,000","20,300",,,,,,
8/12/14,2014-8,"230,000","5,000","9,800,000","27,000","22,800",,,,,,
8/13/14,2014-8,"220,000","5,000","8,500,000","22,000","19,100",,,,,,
8/14/14,2014-8,"210,000","4,000","8,800,000","26,000","18,200",,,,,,
8/15/14,2014-8,"190,000","4,000","7,700,000","23,000","15,600",,,,,,
8/16/14,2014-8,"150,000","3,000","8,300,000","28,000","16,000",,,,,,
8/17/14,2014-8,"170,000","3,000","6,200,000","22,000","13,100",,,,,,
8/18/14,2014-8,"220,000","5,000","9,300,000","28,000","19,300",,,,,,
8/19/14,2014-8,"230,000","5,000","8,000,000","26,000","19,200",,,,,,
8/20/14,2014-8,"340,000","9,000","9,400,000","27,000","22,500",,,,,,
8/21/14,2014-8,"280,000","7,000","9,100,000","25,000","21,200",,,,,,
